Sequence_ID,Cluster,Novelty,Confidence,Category,Function
Sequence_444,2,0.9546,0.5222,Potentially novel,Bioactive-like
Sequence_445,2,0.9624,0.5204,Potentially novel,Bioactive-like
Sequence_446,2,0.9604,0.5209,Potentially novel,Bioactive-like
Sequence_447,2,0.9799,0.5163,Potentially novel,Bioactive-like
Sequence_448,2,0.9579,0.5215,Potentially novel,Bioactive-like
Sequence_449,1,0.9589,0.5212,Potentially novel,Enzyme-like
Sequence_450,2,0.9552,0.5221,Potentially novel,Bioactive-like
Sequence_451,1,0.9721,0.5181,Potentially novel,Bioactive-like
Sequence_452,2,0.9831,0.5156,Potentially novel,Bioactive-like
Sequence_453,2,0.9613,0.5206,Potentially novel,Bioactive-like
Sequence_454,1,0.9685,0.519,Potentially novel,Bioactive-like
Sequence_455,2,0.9688,0.5189,Potentially novel,Bioactive-like
Sequence_456,1,0.9667,0.5194,Potentially novel,Bioactive-like
Sequence_457,2,0.9276,0.5287,Potentially novel,Bioactive-like
Sequence_458,1,0.975,0.5174,Potentially novel,Bioactive-like
Sequence_459,1,0.9629,0.5203,Potentially novel,Bioactive-like
Sequence_460,2,0.9596,0.521,Potentially novel,Bioactive-like
Sequence_461,1,0.974,0.5177,Potentially novel,Bioactive-like
Sequence_462,1,0.9596,0.5211,Potentially novel,Bioactive-like
Sequence_463,1,0.9781,0.5167,Potentially novel,Bioactive-like
Sequence_464,1,0.9552,0.5221,Potentially novel,Bioactive-like
Sequence_465,1,0.9713,0.5183,Potentially novel,Bioactive-like
Sequence_466,1,0.968,0.5191,Potentially novel,Bioactive-like
Sequence_467,2,0.9537,0.5225,Potentially novel,Bioactive-like
Sequence_468,1,0.9696,0.5187,Potentially novel,Enzyme-like
Sequence_469,2,0.9331,0.5274,Potentially novel,Bioactive-like
Sequence_470,1,0.9622,0.5204,Potentially novel,Bioactive-like
Sequence_471,2,0.9827,0.5156,Potentially novel,Bioactive-like
Sequence_472,1,0.9623,0.5204,Potentially novel,Bioactive-like
Sequence_473,1,0.9668,0.5194,Potentially novel,Bioactive-like
Sequence_474,2,0.9455,0.5244,Potentially novel,Bioactive-like
Sequence_475,1,0.9586,0.5213,Potentially novel,Bioactive-like
Sequence_476,2,0.9707,0.5184,Potentially novel,Bioactive-like
Sequence_477,2,0.9763,0.5171,Potentially novel,Bioactive-like
Sequence_478,1,0.9691,0.5188,Potentially novel,Bioactive-like
Sequence_479,2,0.9574,0.5216,Potentially novel,Bioactive-like
Sequence_480,1,0.9591,0.5212,Potentially novel,Bioactive-like
Sequence_481,1,0.9904,0.5139,Potentially novel,Bioactive-like
Sequence_482,1,0.9891,0.5142,Potentially novel,Bioactive-like
Sequence_483,2,0.9562,0.5219,Potentially novel,Bioactive-like
Sequence_484,1,0.963,0.5202,Potentially novel,Bioactive-like
Sequence_485,1,0.9536,0.5225,Potentially novel,Enzyme-like
Sequence_486,1,0.9485,0.5237,Potentially novel,Enzyme-like
Sequence_487,1,0.9575,0.5216,Potentially novel,Bioactive-like
Sequence_488,1,0.9585,0.5213,Potentially novel,Bioactive-like
Sequence_489,1,0.9477,0.5239,Potentially novel,Bioactive-like
Sequence_490,1,0.9623,0.5204,Potentially novel,Bioactive-like
Sequence_491,1,0.9625,0.5204,Potentially novel,Bioactive-like
Sequence_492,2,0.9796,0.5164,Potentially novel,Bioactive-like
Sequence_493,2,0.9741,0.5177,Potentially novel,Bioactive-like
Sequence_494,2,0.9616,0.5206,Potentially novel,Bioactive-like
Sequence_495,1,0.9648,0.5198,Potentially novel,Bioactive-like
Sequence_496,1,0.9702,0.5186,Potentially novel,Bioactive-like
Sequence_497,2,0.9669,0.5193,Potentially novel,Bioactive-like
Sequence_498,2,0.9427,0.5251,Potentially novel,Bioactive-like
Sequence_499,2,0.9638,0.5201,Potentially novel,Bioactive-like
Sequence_500,1,0.9759,0.5172,Potentially novel,Bioactive-like
Sequence_501,2,0.9455,0.5244,Potentially novel,Bioactive-like
Sequence_502,2,0.9654,0.5197,Potentially novel,Bioactive-like
Sequence_503,1,0.9832,0.5155,Potentially novel,Bioactive-like
Sequence_504,1,1.0,0.5117,Potentially novel,Bioactive-like
Sequence_505,1,0.9633,0.5202,Potentially novel,Bioactive-like
Sequence_506,1,0.9717,0.5182,Potentially novel,Bioactive-like
Sequence_507,1,0.9684,0.519,Potentially novel,Bioactive-like
Sequence_508,2,0.9456,0.5244,Potentially novel,Bioactive-like
Sequence_509,2,0.953,0.5226,Potentially novel,Bioactive-like
Sequence_510,2,0.9422,0.5252,Potentially novel,Bioactive-like
Sequence_511,2,0.9696,0.5187,Potentially novel,Bioactive-like
Sequence_512,1,0.976,0.5172,Potentially novel,Bioactive-like
Sequence_513,1,0.9779,0.5168,Potentially novel,Bioactive-like
Sequence_514,2,0.9813,0.516,Potentially novel,Enzyme-like
Sequence_515,1,0.9802,0.5162,Potentially novel,Enzyme-like
Sequence_516,1,0.9744,0.5176,Potentially novel,Bioactive-like
Sequence_517,2,0.9857,0.515,Potentially novel,Bioactive-like
Sequence_518,1,0.9394,0.5259,Potentially novel,Bioactive-like
Sequence_519,2,0.9529,0.5226,Potentially novel,Bioactive-like
Sequence_520,2,0.9759,0.5172,Potentially novel,Bioactive-like
Sequence_521,1,0.9562,0.5219,Potentially novel,Bioactive-like
Sequence_522,1,0.9551,0.5221,Potentially novel,Bioactive-like
Sequence_523,2,0.9648,0.5198,Potentially novel,Bioactive-like
Sequence_524,1,0.93,0.5281,Potentially novel,Bioactive-like
Sequence_525,2,0.9495,0.5235,Potentially novel,Bioactive-like
Sequence_526,1,0.9831,0.5156,Potentially novel,Bioactive-like
Sequence_527,1,0.9645,0.5199,Potentially novel,Bioactive-like
Sequence_528,1,0.9674,0.5192,Potentially novel,Enzyme-like
Sequence_529,2,0.9704,0.5185,Potentially novel,Bioactive-like
Sequence_530,2,0.9519,0.5229,Potentially novel,Bioactive-like
Sequence_531,1,0.9624,0.5204,Potentially novel,Bioactive-like
Sequence_532,1,0.9583,0.5214,Potentially novel,Bioactive-like
Sequence_533,2,0.939,0.526,Potentially novel,Bioactive-like
Sequence_534,1,0.935,0.5269,Potentially novel,Bioactive-like
Sequence_535,2,0.9501,0.5233,Potentially novel,Bioactive-like
Sequence_536,1,0.9644,0.5199,Potentially novel,Bioactive-like
Sequence_537,1,0.9641,0.52,Potentially novel,Bioactive-like
Sequence_538,2,0.9521,0.5228,Potentially novel,Bioactive-like
Sequence_539,2,0.9654,0.5197,Potentially novel,Bioactive-like
Sequence_540,1,0.9599,0.521,Potentially novel,Bioactive-like
Sequence_541,1,0.957,0.5217,Potentially novel,Enzyme-like
Sequence_542,2,0.9569,0.5217,Potentially novel,Bioactive-like
Sequence_543,2,0.9566,0.5218,Potentially novel,Bioactive-like
Sequence_544,1,0.9768,0.517,Potentially novel,Bioactive-like
Sequence_545,1,0.9751,0.5174,Potentially novel,Bioactive-like
Sequence_546,1,0.9595,0.5211,Potentially novel,Bioactive-like
Sequence_547,1,0.956,0.5219,Potentially novel,Bioactive-like
Sequence_548,1,0.9605,0.5208,Potentially novel,Bioactive-like
Sequence_549,1,0.9646,0.5199,Potentially novel,Bioactive-like
Sequence_550,1,0.9685,0.5189,Potentially novel,Enzyme-like
Sequence_551,1,0.9487,0.5236,Potentially novel,Bioactive-like
Sequence_552,2,0.9548,0.5222,Potentially novel,Bioactive-like
Sequence_553,1,0.9549,0.5222,Potentially novel,Bioactive-like
