Sequence_154, Cluster_0, Distance_0.2011, Novelty_0.1349, Confidence_0.8326, Known-like
Sequence_155, Cluster_0, Distance_0.1877, Novelty_0.1196, Confidence_0.8419, Known-like
Sequence_156, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_157, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_158, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_159, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_160, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_161, Cluster_0, Distance_0.1904, Novelty_0.1226, Confidence_0.8401, Known-like
Sequence_162, Cluster_0, Distance_0.1948, Novelty_0.1277, Confidence_0.8369, Known-like
Sequence_163, Cluster_0, Distance_0.2992, Novelty_0.2475, Confidence_0.7697, Known-like
Sequence_164, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_165, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_166, Cluster_0, Distance_0.1877, Novelty_0.1195, Confidence_0.8420, Known-like
Sequence_167, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_168, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_169, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_170, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_171, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_172, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_173, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_174, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_175, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_176, Cluster_0, Distance_0.1912, Novelty_0.1236, Confidence_0.8395, Known-like
Sequence_177, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_178, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_179, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_180, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_181, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_182, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_183, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_184, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_185, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_186, Cluster_0, Distance_0.1864, Novelty_0.1180, Confidence_0.8429, Known-like
Sequence_187, Cluster_0, Distance_0.1910, Novelty_0.1233, Confidence_0.8396, Known-like
Sequence_188, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_189, Cluster_0, Distance_0.1918, Novelty_0.1242, Confidence_0.8391, Known-like
Sequence_190, Cluster_0, Distance_0.1892, Novelty_0.1213, Confidence_0.8409, Known-like
Sequence_191, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_192, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_193, Cluster_0, Distance_0.2178, Novelty_0.1541, Confidence_0.8211, Known-like
Sequence_194, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_195, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_196, Cluster_0, Distance_0.0836, Novelty_0.0000, Confidence_0.9228, Known-like
Sequence_197, Cluster_0, Distance_0.1833, Novelty_0.1144, Confidence_0.8451, Known-like
Sequence_198, Cluster_0, Distance_0.1918, Novelty_0.1242, Confidence_0.8391, Known-like
Sequence_199, Cluster_0, Distance_0.1981, Novelty_0.1315, Confidence_0.8346, Known-like
Sequence_200, Cluster_0, Distance_0.2280, Novelty_0.1659, Confidence_0.8143, Known-like
Sequence_201, Cluster_0, Distance_0.4379, Novelty_0.4068, Confidence_0.6955, Known-like
Sequence_202, Cluster_0, Distance_0.3720, Novelty_0.3312, Confidence_0.7289, Known-like
Sequence_203, Cluster_0, Distance_0.5240, Novelty_0.5057, Confidence_0.6562, Similar
Sequence_204, Cluster_0, Distance_0.3184, Novelty_0.2697, Confidence_0.7585, Known-like
Sequence_205, Cluster_0, Distance_0.7523, Novelty_0.7679, Confidence_0.5707, Similar
Sequence_206, Cluster_0, Distance_0.5790, Novelty_0.5689, Confidence_0.6333, Similar
Sequence_207, Cluster_0, Distance_0.2662, Novelty_0.2097, Confidence_0.7898, Known-like
Sequence_208, Cluster_0, Distance_0.4714, Novelty_0.4454, Confidence_0.6796, Known-like
Sequence_209, Cluster_0, Distance_0.2599, Novelty_0.2025, Confidence_0.7937, Known-like
Sequence_210, Cluster_0, Distance_0.4648, Novelty_0.4377, Confidence_0.6827, Known-like
Sequence_211, Cluster_0, Distance_0.3365, Novelty_0.2904, Confidence_0.7482, Known-like
Sequence_212, Cluster_0, Distance_0.4172, Novelty_0.3831, Confidence_0.7056, Known-like
Sequence_213, Cluster_0, Distance_0.5786, Novelty_0.5684, Confidence_0.6335, Similar
Sequence_214, Cluster_0, Distance_0.4787, Novelty_0.4537, Confidence_0.6763, Similar
Sequence_215, Cluster_0, Distance_0.4003, Novelty_0.3637, Confidence_0.7141, Known-like
Sequence_216, Cluster_0, Distance_0.1981, Novelty_0.1315, Confidence_0.8346, Known-like
Sequence_217, Cluster_0, Distance_0.2929, Novelty_0.2403, Confidence_0.7735, Known-like
Sequence_218, Cluster_0, Distance_0.5472, Novelty_0.5323, Confidence_0.6463, Similar
Sequence_219, Cluster_0, Distance_0.5404, Novelty_0.5246, Confidence_0.6492, Similar
Sequence_220, Cluster_0, Distance_0.2895, Novelty_0.2364, Confidence_0.7755, Known-like
Sequence_221, Cluster_0, Distance_0.5054, Novelty_0.4844, Confidence_0.6643, Similar
Sequence_222, Cluster_0, Distance_0.8079, Novelty_0.8318, Confidence_0.5531, Similar
Sequence_223, Cluster_0, Distance_0.3085, Novelty_0.2583, Confidence_0.7642, Known-like
Sequence_224, Cluster_0, Distance_0.4337, Novelty_0.4020, Confidence_0.6975, Known-like
Sequence_225, Cluster_0, Distance_0.4171, Novelty_0.3830, Confidence_0.7057, Known-like
Sequence_226, Cluster_0, Distance_0.2293, Novelty_0.1673, Confidence_0.8135, Known-like
Sequence_227, Cluster_0, Distance_0.2798, Novelty_0.2253, Confidence_0.7814, Known-like
Sequence_228, Cluster_0, Distance_0.7591, Novelty_0.7758, Confidence_0.5685, Similar
Sequence_229, Cluster_0, Distance_0.4159, Novelty_0.3816, Confidence_0.7063, Known-like
Sequence_230, Cluster_0, Distance_0.3266, Novelty_0.2791, Confidence_0.7538, Known-like
Sequence_231, Cluster_0, Distance_0.4346, Novelty_0.4030, Confidence_0.6971, Known-like
Sequence_232, Cluster_0, Distance_0.1953, Novelty_0.1283, Confidence_0.8366, Known-like
Sequence_233, Cluster_0, Distance_0.3888, Novelty_0.3505, Confidence_0.7201, Known-like
Sequence_234, Cluster_0, Distance_0.3396, Novelty_0.2940, Confidence_0.7465, Known-like
Sequence_235, Cluster_0, Distance_0.4822, Novelty_0.4578, Confidence_0.6747, Similar
Sequence_236, Cluster_0, Distance_0.3293, Novelty_0.2821, Confidence_0.7523, Known-like
Sequence_237, Cluster_0, Distance_0.1904, Novelty_0.1226, Confidence_0.8401, Known-like
Sequence_238, Cluster_0, Distance_0.3555, Novelty_0.3122, Confidence_0.7377, Known-like
Sequence_239, Cluster_0, Distance_0.7779, Novelty_0.7973, Confidence_0.5625, Similar
Sequence_240, Cluster_0, Distance_0.3470, Novelty_0.3025, Confidence_0.7424, Known-like
